Date,Building,Stream,MainStream,Substream,Volume,Weight,Notes,Year
5/15/18,Facilities,Recycling,Recycling,Paper,1,15.8,,2018
5/15/18,Facilities,Recycling,Recycling,Cardboard,1,5.5,,2018
5/15/18,Facilities,Recycling,Recycling,Cardboard,1,8.6,,2018
5/15/18,Facilities,Recycling,Recycling,Paper,0.66,6.5,,2018
5/15/18,Facilities,Landfill in Recycling,Recycling,Other Landfill,0.1,1.2,coffee cups,2018
5/15/18,Facilities,Recycling,Recycling,Metal,0.25,5.2,keys,2018
5/15/18,Facilities,Recycling,Recycling,Glass,0.15,11.7,,2018
5/15/18,Facilities,Recycling,Recycling,Plastic 1-7,1.25,13.6,,2018
5/15/18,Facilities,Recycling,Recycling,Plastic Film,1,4.1,,2018
5/15/18,Facilities,Recycling,Recycling,Cardboard,1,2.3,,2018
5/15/18,Facilities,Landfill in Recycling,Recycling,Other Landfill,0.5,4.8,"SCU coffee cups, markers, chip bags, mailing packages",2018
5/15/18,Facilities,Landfill in Recycling,Recycling,Reusables,0.1,2,,2018
5/15/18,Facilities,Landfill in Recycling,Recycling,Styrofoam,0.05,0.6,,2018
5/15/18,Facilities,Compost in Recycling,Recycling,Paper Towels,0.33,1.4,,2018
5/15/18,Facilities,Compost in Recycling,Recycling,Compostable Food Containers,0.33,2.8,"paper towels, napkins, sandwich wrappers, food containers",2018
5/15/18,Facilities,Compost in Recycling,Recycling,Misc. Meal Waste,0.1,1.6,,2018
5/15/18,Facilities,Compost,Compost,Paper Towels,0.75,11.2,,2018
5/15/18,Facilities,Landfill in Compost,Compost,Other Landfill,0.05,0.9,coffee cups,2018
5/15/18,Facilities,Compost,Compost,Compostable Food Containers,0.75,3.2,,2018
5/15/18,Facilities,Compost,Compost,Misc. Meal Waste,0.25,22.2,,2018
5/15/18,Facilities,Recycling in Compost,Compost,Paper,0.05,0.1,,2018
5/15/18,Facilities,Recycling in Compost,Compost,Plastic 1-7,0.12,2.8,,2018
5/15/18,Facilities,Recycling in Compost,Compost,Plastic Film,0.12,0.2,,2018
5/15/18,Facilities,Landfill in Compost,Compost,Other Landfill,0.06,1.7,"chip wrappers, keurig cups",2018
5/15/18,Facilities,Recycling in Compost,Compost,Metal,0.05,0.5,,2018
02-09-2018,Swig,Compost in Landfill,Landfill,Compostable Food Containers,0.75,6.2,"napkins, tissues, compostable containers",2018
02-09-2018,Swig,Recycling in Landfill,Landfill,Plastic 1-7,1,7.4,"red solo cups, big gulps, plastic bottles",2018
02-09-2018,Swig,Recycling in Landfill,Landfill,Paper,1,7.9,"paperboard, paper, receipts",2018
02-09-2018,Swig,Compost in Landfill,Landfill,Compostable Food Containers,1,5.2,pizza boxes,2018
02-09-2018,Swig,Recycling in Landfill,Landfill,Plastic 1-7,1,7.3,"water bottles, drink bottles, benson to-go cups",2018
02-09-2018,Swig,Compost in Landfill,Landfill,Compostable Food Containers,1,6.4,"to go containers, paper wrappers",2018
02-09-2018,Swig,Recycling in Landfill,Landfill,Paper,1,6,"grocery bags, cardboard bozes",2018
02-09-2018,Swig,Compost in Landfill,Landfill,Compostable Food Containers,0.5,2.7,"to go containers, paper bags, napkins",2018
02-09-2018,Swig,Recycling in Landfill,Landfill,Aseptic Containers,0.05,1,milk carton,2018
02-09-2018,Swig,Compost in Landfill,Landfill,Misc. Meal Waste,0.33,33.2,whole bag of oranges,2018
02-09-2018,Swig,Compost in Landfill,Landfill,Paper Towels,0.75,5.9,,2018
02-09-2018,Swig,Recycling in Landfill,Landfill,Paper,0.05,1.1,paper bags,2018
02-09-2018,Swig,Reusables in Landfill,Landfill,Reusables,0.25,2.7,"bags, bubble wrap, clothes",2018
02-09-2018,Swig,Landfill,Landfill,Styrofoam,0.25,1.5,packaging,2018
02-09-2018,Swig,Landfill,Landfill,Other Landfill,1,9.8,"food wrappers, makeup remover pads, snack bags",2018
02-09-2018,Swig,Recycling in Landfill,Landfill,Metal,0.25,3.8,"energy drinks, tea",2018
02-09-2018,Swig,Recycling in Landfill,Landfill,Cardboard,1,6.4,"mailboxes, cellar boxes (Bulk drinks)",2018
02-09-2018,Swig,Landfill,Landfill,Other Landfill,0.13,1,coffee cups,2018
02-09-2018,Swig,Recycling in Landfill,Landfill,Glass,0.25,15.6,"yerba mate, alcohol bottles",2018
02-09-2018,Swig,Recycling in Landfill,Landfill,Plastic 1-7,0.75,3.8,"water bottles, utensils, plastic containers",2018
02-09-2018,Swig,Recycling in Landfill,Landfill,Terracycle,0.05,0.05,,2018
02-09-2018,Swig,Recycling in Landfill,Landfill,Plastic 1-7,1,7.8,"trash bags, shopping bags, clear wrappers",2018
02-09-2018,Swig,Recycling in Landfill,Landfill,E-/Universal Waste,0.05,0.4,2 batteries,2018
1/26/18,Vari Hall and Lucas Hall,Recycling in Landfill,Landfill,Plastic 1-7,1,8.7,"water bottles, utensils",2018
1/26/18,Vari Hall and Lucas Hall,Compost in Landfill,Landfill,Compostable Food Containers,1,10.2,"take out containers, paper bags, napkins",2018
1/26/18,Vari Hall and Lucas Hall,Compost in Landfill,Landfill,Paper Towels,1,16,,2018
1/26/18,Vari Hall and Lucas Hall,Recycling in Landfill,Landfill,Paper,1,19.2,"paper, paperboard, paper food boxes",2018
1/26/18,Vari Hall and Lucas Hall,Compost in Landfill,Landfill,Misc. Meal Waste,0.33,33.5,food,2018
1/26/18,Vari Hall and Lucas Hall,Landfill,Landfill,Other Landfill,1,8.8,,2018
1/26/18,Vari Hall and Lucas Hall,Compost in Landfill,Landfill,Paper Towels,1,11.7,,2018
1/26/18,Vari Hall and Lucas Hall,Landfill,Landfill,Other Landfill,0.75,7.5,,2018
1/26/18,Vari Hall and Lucas Hall,Reusables in Landfill,Landfill,Reusables,0.1,5.4,,2018
1/26/18,Vari Hall and Lucas Hall,Recycling in Landfill,Landfill,Terracycle,0.33,0.9,"chip bags, energy bars",2018
1/26/18,Vari Hall and Lucas Hall,Compost in Landfill,Landfill,Compostable Food Containers,0.75,10.5,"coffee cup sleeves, benson containers, food bags",2018
1/26/18,Vari Hall and Lucas Hall,Recycling in Landfill,Landfill,Plastic Film,1,19.1,garbage bags,2018
1/26/18,Vari Hall and Lucas Hall,Recycling in Landfill,Landfill,Paperboard Rolls,0.25,2.1,,2018
1/26/18,Vari Hall and Lucas Hall,Recycling in Landfill,Landfill,Terracycle,0.1,1.2,"tetrapack, chewy bars",2018
1/26/18,Vari Hall and Lucas Hall,Landfill,Landfill,Styrofoam,0.1,0.1,styrofoam plates,2018
1/26/18,Vari Hall and Lucas Hall,Recycling in Landfill,Landfill,Plastic 1-7,1,10.3,"utensils, beverage and food containers, coffee lids",2018
1/26/18,Vari Hall and Lucas Hall,Compost in Landfill,Landfill,Misc. Meal Waste,0.25,16.3,food,2018
1/26/18,Vari Hall and Lucas Hall,Compost in Landfill,Landfill,Paper Towels,0.25,3.9,,2018
1/26/18,Vari Hall and Lucas Hall,Recycling in Landfill,Landfill,Glass,0.1,2.1,3 glass beverage containers,2018
1/26/18,Vari Hall and Lucas Hall,Recycling in Landfill,Landfill,E-/Universal Waste,0.1,0.3,5 batteries,2018
1/26/18,Vari Hall and Lucas Hall,Recycling in Landfill,Landfill,Paper,1,8.1,"office paper, receipts, paper ream packaging",2018
1/26/18,Vari Hall and Lucas Hall,Recycling in Landfill,Landfill,Metal,0.25,2.1,"cans, foil",2018
1/26/18,Vari Hall and Lucas Hall,Landfill,Landfill,Other Landfill,0.25,4.9,,2017
10-04-2017,Malley,Landfill,Landfill,Other Landfill,0.5,6.3,"soiled bags, gloves",2017
10-04-2017,Malley,Landfill,Landfill,Other Landfill,0,0.01,Only coffee cups,2017
10-04-2017,Malley,Compost in Landfill,Landfill,Misc. Meal Waste,0.1,2.9,bagel chips,2017
10-04-2017,Malley,Recycling in Landfill,Landfill,Paper,0.1,0.1,reciepts,2017
10-04-2017,Malley,Recycling in Landfill,Landfill,Paperboard Rolls,0.1,1.6,toilet paper rolls,2017
10-04-2017,Malley,Recycling in Landfill,Landfill,Plastic Film,0.5,1.8,Liners,2017
10-04-2017,Malley,Recycling in Landfill,Landfill,Terracycle,0.1,1,energy bar wraapers,2017
10-04-2017,Malley,Reusables in Landfill,Landfill,Reusables,0.33,6.6,towels,2017
10-04-2017,Malley,Recycling in Landfill,Landfill,Metal,0,0.01,tin foil,2017
10-04-2017,Malley,Compost in Landfill,Landfill,Compostable Food Containers,0.25,3.5,coffee sleeves,2017
10-04-2017,Malley,Recycling in Landfill,Landfill,Plastic 1-7,0.25,1.5,,2017
11/14/16,Malley,Compost in Landfill,Landfill,Misc. Meal Waste,0.1,2.8,"fried chicken, banana peels, sandwich",2016
11/14/16,Malley,Compost in Landfill,Landfill,Paper Towels,0.33,2.9,,2016
11/14/16,Malley,Landfill,Landfill,Other Landfill,0.75,5.6,"gloves, chip bags, styrofoam, feminime products",2016
11/14/16,Malley,Compost in Landfill,Landfill,Compostable Food Containers,0.1,1.3,napkins,2016
11/14/16,Malley,Reusables in Landfill,Landfill,Reusables,0.1,3,clothing,2016
11/14/16,Malley,Recycling in Landfill,Landfill,Plastic 1-7,0.1,0.9,"utensils, coffee lids, ping pong balls",2016
11/14/16,Malley,Recycling in Landfill,Landfill,Paper,0.1,0.5,"paper, paperboard",2016
11/14/16,Malley,Recycling in Landfill,Landfill,Metal,0.1,0.5,foil,2016
11/14/16,Malley,Recycling in Landfill,Landfill,Terracycle,0.1,0,"energy bar, wrappers",2016
11/14/16,Malley,Recycling in Landfill,Landfill,Paperboard Rolls,0.1,0.2,toilet paper rolls,2016
11/14/16,Malley,Recycling in Landfill,Landfill,Aseptic Containers,0.1,1.1,,2016
11/14/16,Malley,Recycling in Landfill,Landfill,E-/Universal Waste,0.1,0.6,cord,2016
11/14/16,Malley,Recycling in Landfill,Landfill,Plastic Film,0.5,2.1,liners,2016
11/14/16,Malley,Recycling in Landfill,Landfill,Const/Demo Waste,0.05,0.05,PVC pipe,2016
11/14/16,Malley,Recycling,Recycling,Plastic 1-7,1,4.9,"water bottles, shampoo bottles, cold drink cups",2016
11/14/16,Malley,Recycling,Recycling,Plastic 1-7,1,8,water bottles,2016
11/14/16,Malley,Recycling,Recycling,Metal,0.33,0.8,cans,2016
11/14/16,Malley,Compost in Recycling,Recycling,Compostable Food Containers,0.25,1.5,"smoothie container, muffin wrapper, napkin",2016
11/14/16,Malley,Compost in Recycling,Recycling,Paper Towels,0.33,2.4,,2016
11/14/16,Malley,Landfill in Recycling,Recycling,Other Landfill,0.33,3,"candy wrappers, gloves, powerade cups",2016
11/14/16,Malley,Recycling,Recycling,Plastic Film,0.75,4,"liners, plastic bags",2016
11/14/16,Malley,Recycling,Recycling,Paperboard Rolls,0.25,0.2,badminton birdie containers,2016
11/14/16,Malley,Recycling,Recycling,Aseptic Containers,0.1,1.3,,2016
11/14/16,Malley,Recycling,Recycling,Paper,0.5,6.5,office paper,2016
11/14/16,Malley,Recycling,Recycling,Terracycle,0.1,0.3,energy bar wrapper,2016
11/14/16,Malley,Reusables in Recycling,Recycling,Reusables,0.1,0.7,"smoothie container, stickers",2016
11/14/16,Malley,Recycling,Recycling,Cardboard,1,12.1,flattened boxes,2016
11/14/16,Malley,Compost in Recycling,Recycling,Misc. Meal Waste,0.05,0.8,banana peel,2016
11/14/16,Malley,Compost,Compost,Paper Towels,1,13.2,,2016
11/14/16,Malley,Compost,Compost,Paper Towels,1,17.7,,2016
11/14/16,Malley,Compost,Compost,Paper Towels,1,13.5,,2016
11/14/16,Malley,Recycling in Compost,Compost,Paper,0.1,0.4,paper bags,2016
11/14/16,Malley,Compost,Compost,Misc. Meal Waste,0.1,8.3,"banana peel, chips, apple core",2016
11/14/16,Malley,Compost,Compost,Compostable Food Containers,1,9.1,"food plates, clam shells",2016
11/14/16,Malley,Landfill in Compost,Compost,Other Landfill,0.33,1.8,"plates, chip bag, powerade cups",2016
11/14/16,Malley,Reusables in Compost,Compost,Reusables,,0.4,"socks, rubber bands",2016
11/14/16,Malley,Recycling in Compost,Compost,Plastic 1-7,0.1,0.4,"water bottles, coffee lids",2016
11/14/16,Malley,Recycling in Compost,Compost,Terracycle,0.05,0.7,wrappers,2016
11/14/16,Malley,Recycling in Compost,Compost,Plastic Film,0.1,0.7,"ziploc, togo",2016
11/14/16,Malley,Recycling in Compost,Compost,Metal,0.1,0.5,foil,2016
11/14/16,Malley,Recycling in Compost,Compost,Paperboard Rolls,0.05,0.05,2 pt rolls,2016
5/15/18,Facilities,Recycling in Landfill,Landfill,Plastic Film,0.75,3.6,food containers,2018
5/15/18,Facilities,Recycling in Landfill,Landfill,Plastic 1-7,1.25,9.8,starbucks cups,2018
5/15/18,Facilities,Recycling in Landfill,Landfill,Plastic Film,0.75,2.3,,2018
5/15/18,Facilities,Recycling in Landfill,Landfill,Paper,0.75,8.7,"sheets of paper, paper bags",2018
5/15/18,Facilities,Recycling in Landfill,Landfill,Glass,0.1,5.6,,2018
5/15/18,Facilities,Recycling in Landfill,Landfill,E-/Universal Waste,0.1,1.9,,2018
5/15/18,Facilities,Recycling in Landfill,Landfill,Cardboard,0.5,1.9,cardboard boxes,2018
5/15/18,Facilities,Recycling in Landfill,Landfill,Metal,0.1,6.8,,2018
5/15/18,Facilities,Landfill,Landfill,Other Landfill,1,15.2,,2018
5/15/18,Facilities,Recycling in Landfill,Landfill,Paperboard Rolls,0.05,0.1,,2018
5/15/18,Facilities,Recycling in Landfill,Landfill,Const/Demo Waste,0.25,10.9,,2018
5/15/18,Facilities,Landfill,Landfill,Styrofoam,0.1,1.3,,2018
5/15/18,Facilities,Reusables in Landfill,Landfill,Reusables,0.5,,"boots, gloves, pens, jumper cables",2018
5/15/18,Facilities,Landfill,Landfill,Other Landfill,0.33,2.3,coffee cups,2018
5/15/18,Facilities,Compost in Landfill,Landfill,Paper Towels,0.8,8.7,,2018
5/15/18,Facilities,Compost in Landfill,Landfill,Compostable Food Containers,1,12.4,"to go boxes, flowers, clear cups",2018
5/15/18,Facilities,Compost in Landfill,Landfill,Misc. Meal Waste,0.25,16.6,,2018
3/13/17,University Villas,Recycling in Landfill,Landfill,Plastic 1-7,1,6.5,"bottles, fruit containers, to go cups, lots of packaged foods",2017
3/13/17,University Villas,Recycling in Landfill,Landfill,Paper,1,6.2,"store bags ,frozen food boxes,office papers, packaged foods",2017
3/13/17,University Villas,Landfill,Landfill,Other Landfill,0.75,6.3,"ice cream container, food packaging,cleaning wipes, easy disposable",2017
3/13/17,University Villas,Recycling in Landfill,Landfill,Plastic Film,1,5.5,"trash bags,food wrapping, bread bags",2017
3/13/17,University Villas,Compost in Landfill,Landfill,Misc. Meal Waste,0.33,43.2,"moldy food, Lots of waste",2017
3/13/17,University Villas,Recycling in Landfill,Landfill,Plastic 1-7,0.75,4.5,"food containers, solo cups",2017
3/13/17,University Villas,Recycling in Landfill,Landfill,Paper,0.67,3.9,"office paper, store bags",2017
3/13/17,University Villas,Recycling in Landfill,Landfill,Plastic 1-7,1,6.2,"produce packaging, food containers",2017
3/13/17,University Villas,Compost in Landfill,Landfill,Paper Towels,0.9,11.4,,2017
3/13/17,University Villas,Compost in Landfill,Landfill,Compostable Food Containers,1,11.9,"plates, food containers, q-tips",2017
3/13/17,University Villas,Recycling in Landfill,Landfill,Glass,0.1,8.3,bottles,2017
3/13/17,University Villas,Recycling in Landfill,Landfill,Cardboard,0.75,3.1,corrugated,2017
3/13/17,University Villas,Recycling in Landfill,Landfill,Plastic Film,0.67,2.7,bags,2017
3/13/17,University Villas,Recycling in Landfill,Landfill,Metal,0.33,2.8,"foil, cans",2017
3/13/17,University Villas,Recycling in Landfill,Landfill,Terracycle,0.1,0.5,wrappers,2017
3/13/17,University Villas,Recycling in Landfill,Landfill,E-/Universal Waste,0.1,0.1,cords,2017
3/13/17,University Villas,Recycling in Landfill,Landfill,Aseptic Containers,0.1,0.1,shampoo,2017
3/13/17,University Villas,Reusables in Landfill,Landfill,Reusables,0.1,10.2,"socks, laces, icepack",2017
3/13/17,University Villas,Compost in Landfill,Landfill,Compostable Food Containers,0.5,2,"plates, egg cartons",2017
3/13/17,University Villas,Compost in Landfill,Landfill,Paper Towels,0.1,0.7,napkins,2017
3/13/17,University Villas,Landfill,Landfill,Other Landfill,0.75,3.2,"junkfood, packaging, wrappers",2017
3/13/17,University Villas,Compost in Landfill,Landfill,Misc. Meal Waste,0.33,30.7,,2017
3/13/17,University Villas,Landfill,Landfill,Other Landfill,0.1,0.8,,2017
3/13/17,University Villas,Recycling in Landfill,Landfill,Paperboard Rolls,0.1,0.8,,2017
05-04-2016,University Villas,Compost in Landfill,Landfill,Compostable Food Containers,1,10.1,"clam shell containers, pizza boxes, soiled paper",2016
05-04-2016,University Villas,Compost in Landfill,Landfill,Misc. Meal Waste,0.5,29.5,"bread ends, salami, mushrooms",2016
05-04-2016,University Villas,Recycling in Landfill,Landfill,Plastic 1-7,1,7.7,"external clamshells, beverage containers, chicken containers",2016
05-04-2016,University Villas,Recycling in Landfill,Landfill,Paperboard Rolls,0.13,0.8,,2016
05-04-2016,University Villas,Recycling in Landfill,Landfill,Paper,0.75,5.3,"trader joes bags, food boxes, coupons",2016
05-04-2016,University Villas,Recycling in Landfill,Landfill,Cardboard,1,5,"klenex boxes, strawberry flat",2016
05-04-2016,University Villas,Compost in Landfill,Landfill,Compostable Food Containers,1,5.9,"food wrapping, soiler paper, cups",2016
05-04-2016,University Villas,Recycling in Landfill,Landfill,Plastic Film,1,6.2,"ziplocs, plastic bags",2016
05-04-2016,University Villas,Landfill,Landfill,Other Landfill,1,9,"food packaging, styrofoam, coffee cups",2016
05-04-2016,University Villas,Recycling in Landfill,Landfill,Aseptic Containers,0.06,1.5,milk cartons,2016
05-04-2016,University Villas,Recycling in Landfill,Landfill,Metal,0.33,3.6,"cans, foil, monster drinks",2016
05-04-2016,University Villas,Recycling in Landfill,Landfill,Glass,0.33,19.8,"alcohol bottles, juice, soda cans",2016
05-04-2016,University Villas,Recycling in Landfill,Landfill,E-/Universal Waste,0.03,0.1,"batteries, phone charger",2016
05-04-2016,University Villas,Recycling in Landfill,Landfill,Terracycle,0.04,1.7,"bar wrappers, shampoo, deoderant, makeup",2016
05-04-2016,University Villas,Reusables in Landfill,Landfill,Reusables,0.03,0.1,tupperware,2016
05-04-2016,University Villas,Recycling in Landfill,Landfill,Plastic 1-7,1,6.7,"cookie trays, powerade bottles, water bottles",2016
05-04-2016,University Villas,Compost in Landfill,Landfill,Misc. Meal Waste,0.33,23.8,,2016
05-04-2016,University Villas,Compost in Landfill,Landfill,Paper Towels,0.25,1.1,,2016
02-11-2016,Graham,Recycling in Landfill,Landfill,Cardboard,1,7.4,"capri sun box, misc boxes",2016
02-11-2016,Graham,Compost in Landfill,Landfill,Compostable Food Containers,1,7.3,"ben and jerrys container, clamshells, soup containers",2016
02-11-2016,Graham,Recycling in Landfill,Landfill,Plastic 1-7,1,6.9,"gatorade, solo cups, water bottles, milk jugs",2016
02-11-2016,Graham,Compost in Landfill,Landfill,Paper Towels,1,6.9,,2016
02-11-2016,Graham,Recycling in Landfill,Landfill,Paper,1,5.1,"to-go food bags, instructions",2016
02-11-2016,Graham,Compost in Landfill,Landfill,Paper Towels,0.25,2.6,,2016
02-11-2016,Graham,Compost in Landfill,Landfill,Compostable Food Containers,0.75,5.7,"coke cups, q-tips, clear cups, pizza boxes",2016
02-11-2016,Graham,Recycling in Landfill,Landfill,Paper,0.13,1.6,"recipts, brown bags",2016
02-11-2016,Graham,Recycling in Landfill,Landfill,Cardboard,0.33,1,boxes,2016
02-11-2016,Graham,Landfill,Landfill,Other Landfill,0.5,5.4,Chip and candy wrappers,2016
02-11-2016,Graham,Recycling in Landfill,Landfill,Glass,0.06,7.9,"snapple, alcohol bottles",2016
02-11-2016,Graham,Recycling in Landfill,Landfill,Metal,0.25,2.1,"soda cans, aluminum foil, chipotle cover",2016
02-11-2016,Graham,Recycling in Landfill,Landfill,Plastic Film,1,6.2,"plastic bags, wrappers",2016
02-11-2016,Graham,Recycling in Landfill,Landfill,Plastic 1-7,0.6,4,"soda bottles, other drink containers, yogurt containers",2016
02-11-2016,Graham,Reusables in Landfill,Landfill,Reusables,0.75,7.9,"pillow, socks, jeans, benson cups",2016
02-11-2016,Graham,Recycling in Landfill,Landfill,Paperboard Rolls,0.01,0.01,,2016
02-11-2016,Graham,Recycling in Landfill,Landfill,Terracycle,0.25,8,"wrappers, beauty products",2016
02-11-2016,Graham,Compost in Landfill,Landfill,Misc. Meal Waste,0.25,24.2,,2016
05-05-2015,Graham,Compost in Landfill,Landfill,Paper Towels,1,6.1,bags of only paper towels,2016
05-05-2015,Graham,Recycling in Landfill,Landfill,Plastic 1-7,1,6.9,"Odwalla, some bottled water",2015
05-05-2015,Graham,Compost in Landfill,Landfill,Compostable Food Containers,1,5,"to-go clamshells, plates",2015
05-05-2015,Graham,Landfill,Landfill,Other Landfill,2,16.8,"ben&jerrys, outside sourced, chip bags, lots of feminine hygene products",2015
05-05-2015,Graham,Recycling in Landfill,Landfill,Paper,1,7,"cereal boxes, paperboard boxes",2015
05-05-2015,Graham,Recycling in Landfill,Landfill,Plastic Film,1,2.7,"liners, plastic wrappers",2015
05-05-2015,Graham,Compost in Landfill,Landfill,Misc. Meal Waste,0.2,14.9,,2015
05-05-2015,Graham,Recycling in Landfill,Landfill,Aseptic Containers,0.1,0.8,,2015
05-05-2015,Graham,Compost in Landfill,Landfill,Paper Towels,0.67,4.7,,2015
05-05-2015,Graham,Recycling in Landfill,Landfill,Terracycle,0.25,1.8,"shampoo&cond. Containers, deoderants, bar wrappers",2015
05-05-2015,Graham,Reusables in Landfill,Landfill,Reusables,0.33,8.1,clothing,2015
05-05-2015,Graham,Recycling in Landfill,Landfill,Paper,1,6.3,"recipts, paper bags",2015
05-05-2015,Graham,Recycling in Landfill,Landfill,Plastic Film,0.75,2.6,"plastic bags, wrappers",2015
05-05-2015,Graham,Recycling in Landfill,Landfill,Plastic 1-7,1,8,"bottles, soda bottles",2015
05-05-2015,Graham,Recycling in Landfill,Landfill,Metal,0.13,0.9,"aluminum cans, metal foil, chipotle tin",2015
05-05-2015,Graham,Recycling in Landfill,Landfill,Cardboard,0.75,3.9,mailing boxes,2015
05-05-2015,Graham,Compost in Landfill,Landfill,Compostable Food Containers,1,5.3,"to-go besonware, sandwhich wrappers",2015
05-05-2015,Graham,Recycling in Landfill,Landfill,Glass,0.1,4.2,"bottles, jam jar",2015
05-05-2015,Graham,Landfill,Landfill,Other Landfill,0.67,5.9,"small pieces, facial wipes, makeup remover swabs",2015
05-05-2015,Graham,Compost in Landfill,Landfill,Misc. Meal Waste,0.33,10.7,,2015
05-05-2015,Graham,Recycling in Landfill,Landfill,Paperboard Rolls,0.1,0.6,,2015
05-05-2015,Graham,Recycling in Landfill,Landfill,E-/Universal Waste,0.01,0.01,bateries,2015
05-05-2015,Graham,Landfill,Landfill,Styrofoam,0.01,0.01,cup-a-noodle,2015
10-04-2017,Benson Center,Landfill,Landfill,Other Landfill,0.5,6.3,"soiled bags, gloves",2017
10-04-2017,Benson Center,Landfill,Landfill,Other Landfill,0.01,0.01,"Only coffee cups, 4 cups",2017
10-04-2017,Benson Center,Compost in Landfill,Landfill,Misc. Meal Waste,0.1,2.9,bagel chips,2017
10-04-2017,Benson Center,Recycling in Landfill,Landfill,Paper,0.1,0.1,receipts,2017
10-04-2017,Benson Center,Recycling in Landfill,Landfill,Paperboard Rolls,0.1,1.6,toilet paper rolls,2017
10-04-2017,Benson Center,Recycling in Landfill,Landfill,Plastic Film,0.5,1.8,Liners,2017
10-04-2017,Benson Center,Recycling in Landfill,Landfill,Terracycle,0.1,1,energy bar wraapers,2017
10-04-2017,Benson Center,Reusables in Landfill,Landfill,Reusables,0.33,6.6,towels,2017
10-04-2017,Benson Center,Recycling in Landfill,Landfill,Metal,0.01,0.01,tin foil,2017
10-04-2017,Benson Center,Compost in Landfill,Landfill,Compostable Food Containers,0.25,3.5,"coffee sleeves, to go containers",2017
10-04-2017,Benson Center,Recycling in Landfill,Landfill,Plastic 1-7,0.25,1.5,,2017
10-04-2017,Benson Center,Recycling,Recycling,Plastic 1-7,1,6.9,"water bottles, core power, gatorade bottles",2017
10-04-2017,Benson Center,Recycling,Recycling,glass,0.25,6.1,broken glass,2017
10-04-2017,Benson Center,Recycling,Recycling,Plastic 1-7,1,8.6,"water bottles, gatorade, protein drinks",2017
10-04-2017,Benson Center,Recycling,Recycling,cardboard,1.5,22.5,flattened boxes,2017
10-04-2017,Benson Center,Recycling,Recycling,Plastic 1-7,1,6.9,"water bottles, gatorade, protein drinks",2017
10-04-2017,Benson Center,Recycling,Recycling,cardboard,2,29.1,boxes,2017
10-04-2017,Benson Center,Recycling,Recycling,Plastic 1-7,1,8.7,"water bottles, gatorade, protein drinks",2017
10-04-2017,Benson Center,Recycling,Recycling,metal,0.5,4.4,"lecroix, soda cans",2017
10-04-2017,Benson Center,Recycling,Recycling,aseptic containers,0.13,0.8,muscle milk,2017
10-04-2017,Benson Center,Landfill in Recycling,Recycling,Other Landfill,0.33,4,snack wrappers,2017
10-04-2017,Benson Center,Landfill in Recycling,Recycling,Other Landfill,0.01,0.01,"coffee cups, 4 cups",2017
10-04-2017,Benson Center,Compost in Recycling,Recycling,paper towels,0.5,3.2,,2017
10-04-2017,Benson Center,Compost in Recycling,Recycling,Misc. Meal Waste,0.01,1.8,,2017
10-04-2017,Benson Center,Compost in Recycling,Recycling,Compostable Food Containers,0.5,1,plates,2017
10-04-2017,Benson Center,Recycling,Recycling,Plastic 1-7,1,3,"waterbottles, laundry basket",2017
10-04-2017,Benson Center,Reusables in Recycling,Recycling,reusables,0.5,8.7,"swimwear, sports equipment",2017
10-04-2017,Benson Center,Recycling,Recycling,paper,1,25.9,,2017
10-04-2017,Benson Center,Recycling,Recycling,terracycle,0.01,1.3,"chip bags, granola bars",2017
10-04-2017,Benson Center,Recycling,Recycling,cardboard,1,9.1,boxes,2017
10-04-2017,Benson Center,Recycling,Recycling,Plastic Film,1.25,11.9,recycling bags,2017
10-04-2017,Benson Center,Recycling,Recycling,glass,0.2,16.6,snapple bottles,2017
10-04-2017,Benson Center,Landfill in Compost,Compost,Other Landfill,0.01,0.01,,2017
